v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.620643,0.7,18.9326,-9.91715,-3.12498,1.03761,0,0.509093,0,0,20.0994,-10.0214
0,0.5,18.9326,-9.91715,-3.12498,1.05026,1,0.49642,1,0,20.0994,-10.0214
0.444613,0.5,18.9326,-9.91715,-3.12498,1.05026,2,0.186473,2,0,20.0994,-10.0214
0.444776,0.5,18.9326,-9.91715,-3.12498,1.06006,3,0.177546,3,0,20.0994,-10.0214
0.44493,0.5,18.9326,-9.91715,-3.12498,1.06006,4,0.168618,4,0,20.0994,-10.0214
0.445077,0.5,18.9326,-9.91715,-3.12498,1.06978,5,0.159691,5,0,20.2005,-9.97447
0.445215,0.5,18.9326,-9.91715,-3.12498,1.07984,6,0.150764,6,0,20.2005,-9.97447
0.445346,0.5,18.9326,-9.91715,-3.12498,1.07984,7,0.141836,7,0,20.2005,-9.97447
0.445468,0.5,18.9326,-9.91715,-3.12498,1.092,8,0.132909,8,0,20.2005,-9.97447
0.445583,0.5,18.9326,-9.91715,-3.12498,1.092,9,0.123982,9,0,20.233,-9.96587
0.44569,0.5,18.9326,-9.91715,-3.12498,1.10399,10,0.115054,10,0,20.233,-9.96587
0.445788,0.5,18.9326,-9.91715,-3.12498,1.11448,11,0.106127,11,0,20.233,-9.96587
0.445879,0.5,18.9326,-9.91715,-3.12498,1.11448,12,0.0971998,12,0,20.233,-9.96587
0.445962,0.5,18.9326,-9.91715,-3.12498,1.1301,13,0.0882724,13,0,20.233,-9.96587
0.446037,0.5,18.9326,-9.91715,-3.12498,1.1301,14,0.0793451,14,0,20.1381,-10.0169
0.446104,0.5,18.9326,-9.91715,-3.12498,1.14858,15,0.0704177,15,0,20.1381,-10.0169
0.446163,0.5,18.9326,-9.91715,-3.12498,1.16876,16,0.0614904,16,0,20.1381,-10.0169
0.446213,0.5,18.9326,-9.91715,-3.12498,1.16876,17,0.0525631,17,0,20.1593,-10.0302
0.446153,0.5,18.9129,-9.91558,-3.12547,1.1906,18,0.0633338,18,0,20.1593,-10.0302
0.446206,0.5,18.9129,-9.91558,-3.12547,1.1906,19,0.0544065,19,0,20.1593,-10.0302
0.446251,0.5,18.9129,-9.91558,-3.12547,1.21424,20,0.0454792,20,0,20.1593,-10.0302
0.446287,0.5,18.9129,-9.91558,-3.12547,1.21424,21,0.0365518,21,0,20.1593,-10.0302
0.446316,0.5,18.9129,-9.91558,-3.12547,1.24008,22,0.0276245,22,0,20.3652,-9.9684
0.446336,0.5,18.9129,-9.91558,-3.12547,1.2649,23,0.0186972,23,0,20.3652,-9.9684
0.446349,0.5,18.9129,-9.91558,-3.12547,1.2649,24,0.00976982,24,0,20.3652,-9.9684
0.442201,0.5,18.88,-9.91233,-3.12533,1.28638,25,0.18544,25,0,20.3652,-9.9684
0.442362,0.5,18.88,-9.91233,-3.12533,1.30589,26,0.176561,26,0,20.3652,-9.9684
0.442514,0.5,18.88,-9.91233,-3.12533,1.30589,27,0.167682,27,0,20.3652,-9.9684
0.442659,0.5,18.88,-9.91233,-3.12533,1.32986,28,0.158804,28,0,20.3652,-9.9684
0.442796,0.5,18.88,-9.91233,-3.12533,1.32986,29,0.149925,29,0,20.3652,-9.9684
0.442926,0.5,18.88,-9.91233,-3.12533,1.35032,30,0.141046,30,0,20.3652,-9.9684
0.443047,0.5,18.88,-9.91233,-3.12533,1.35032,31,0.132168,31,0,20.3652,-9.9684
0.442433,0.5,18.8313,-9.91284,-3.12313,1.37088,32,0.171984,32,0,20.4766,-9.95127
0.442582,0.5,18.8313,-9.91284,-3.12313,1.39576,33,0.163105,33,0,20.4766,-9.95127
0.442723,0.5,18.8313,-9.91284,-3.12313,1.39576,34,0.154226,34,0,20.4766,-9.95127
0.442856,0.5,18.8313,-9.91284,-3.12313,1.41918,35,0.145348,35,0,20.4766,-9.95127
0.442981,0.5,18.8313,-9.91284,-3.12313,1.44228,36,0.136469,36,0,20.4766,-9.95127
0.443098,0.5,18.8313,-9.91284,-3.12313,1.44228,37,0.12759,37,0,20.4766,-9.95127
0.442795,0.5,18.8006,-9.91445,-3.12328,1.46619,38,0.14946,38,0,20.4766,-9.95127
0.442924,0.5,18.8006,-9.91445,-3.12328,1.46619,39,0.140581,39,0,20.4766,-9.95127
0.443045,0.5,18.8006,-9.91445,-3.12328,1.49163,40,0.131702,40,0,20.4766,-9.95127
0.442755,0.5,18.7713,-9.91496,-3.12357,1.51684,41,0.152166,41,0,20.3823,-9.89646
0.442369,0.5,18.7391,-9.917,-3.12283,1.51684,42,0.175488,42,0,20.3823,-9.89646
0.442521,0.5,18.7391,-9.917,-3.12283,1.54631,43,0.16661,43,0,20.3823,-9.89646
0.442665,0.5,18.7391,-9.917,-3.12283,1.54631,44,0.157731,44,0,20.3823,-9.89646
