v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.616565,0.7,18.9891,-9.83174,-3.08729,1.37565,0,0.993501,0,0,0,0
0.617879,0.7,18.9891,-9.83174,-3.08729,1.37565,1,0.980174,1,0,0,0
0.619176,0.7,18.9891,-9.83174,-3.08729,1.37565,2,0.966847,2,0,0,0
0.620455,0.7,18.9891,-9.83174,-3.08729,1.37565,3,0.95352,3,0,0,0
0.621716,0.7,18.9891,-9.83174,-3.08729,1.36291,4,0.940193,4,0,0,0
0.622959,0.7,18.9891,-9.83174,-3.08729,1.35607,5,0.926866,5,0,0,0
0.624184,0.7,18.9891,-9.83174,-3.08729,1.35607,6,0.913539,6,0,0,0
0.625392,0.7,18.9891,-9.83174,-3.08729,1.35249,7,0.900212,7,0,0,0
0.626582,0.7,18.9891,-9.83174,-3.08729,1.35249,8,0.886885,8,0,0,0
0.627754,0.7,18.9891,-9.83174,-3.08729,1.35989,9,0.873558,9,0,0,0
0.628909,0.7,18.9891,-9.83174,-3.08729,1.35943,10,0.860231,10,0,0,0
0.630046,0.7,18.9891,-9.83174,-3.08729,1.35943,11,0.846904,11,0,0,0
0.631165,0.7,18.9891,-9.83174,-3.08729,1.36771,12,0.833577,12,0,0,0
0.632266,0.7,18.9891,-9.83174,-3.08729,1.36771,13,0.82025,13,0,0,0
0.633349,0.7,18.9891,-9.83174,-3.08729,1.37484,14,0.806923,14,0,0,0
0.634415,0.7,18.9891,-9.83174,-3.08729,1.37837,15,0.793596,15,0,0,0
0.635241,0.7,18.9806,-9.8347,-3.12234,1.37837,16,0.788757,16,0,0,0
0.636283,0.7,18.9806,-9.8347,-3.12234,1.38161,17,0.77543,17,0,0,0
0.637308,0.7,18.9806,-9.8347,-3.12234,1.38161,18,0.762103,18,0,0,0
0.638315,0.7,18.9806,-9.8347,-3.12234,1.3917,19,0.748776,19,0,0,0
0.639304,0.7,18.9806,-9.8347,-3.12234,1.3917,20,0.735449,20,0,0,0
0.640275,0.7,18.9806,-9.8347,-3.12234,1.40497,21,0.722122,21,0,0,0
0.639208,0.7,18.9527,-9.83464,-3.12252,1.40497,22,0.736759,22,0,0,0
0.640181,0.7,18.9527,-9.83464,-3.12252,1.40497,23,0.723432,23,0,0,0
