v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.619149,0.7,18.9136,-10.1397,-3.122,1.10941,0,0.752156,0,0,0,0
0.620115,0.7,18.9136,-10.1397,-3.122,1.10915,1,0.7392,1,0,0,0
0.621063,0.7,18.9136,-10.1397,-3.122,1.10997,2,0.726244,2,0,0,0
0.621995,0.7,18.9136,-10.1397,-3.122,1.10997,3,0.713288,3,0,0,0
0.622911,0.7,18.9136,-10.1397,-3.122,1.1102,4,0.700333,4,0,0,0
0.623809,0.7,18.9136,-10.1397,-3.122,1.11082,5,0.687377,5,0,0,0
0.624691,0.7,18.9136,-10.1397,-3.122,1.11082,6,0.674421,6,0,0,0
0.625556,0.7,18.9136,-10.1397,-3.122,1.11299,7,0.661465,7,0,0,0
0.626404,0.7,18.9136,-10.1397,-3.122,1.11299,8,0.64851,8,0,0,0
0.627235,0.7,18.9136,-10.1397,-3.122,1.11418,9,0.635554,9,0,0,0
0.62805,0.7,18.9136,-10.1397,-3.122,1.11612,10,0.622598,10,0,0,0
0.628847,0.7,18.9136,-10.1397,-3.122,1.11612,11,0.609642,11,0,0,0
0.629628,0.7,18.9136,-10.1397,-3.122,1.119,12,0.596687,12,0,0,0
0.630393,0.7,18.9136,-10.1397,-3.122,1.119,13,0.583731,13,0,0,0
0.63114,0.7,18.9136,-10.1397,-3.122,1.12199,14,0.570775,14,0,0,0
0.631871,0.7,18.9136,-10.1397,-3.122,1.12794,15,0.557819,15,0,0,0
0.632585,0.7,18.9136,-10.1397,-3.122,1.12794,16,0.544864,16,0,0,0
0.633282,0.7,18.9136,-10.1397,-3.122,1.13497,17,0.531908,17,0,0,0
0.633962,0.7,18.9136,-10.1397,-3.122,1.13497,18,0.518952,18,0,0,0
0.633494,0.7,18.8917,-10.1378,-3.12191,1.14334,19,0.527933,19,0,0,0
0.634169,0.7,18.8917,-10.1378,-3.12191,1.15097,20,0.514977,20,0,0,0
0.634827,0.7,18.8917,-10.1378,-3.12191,1.15097,21,0.502021,21,0,0,0
0.635469,0.7,18.8917,-10.1378,-3.12191,1.15876,22,0.489066,22,0,0,0
0.636094,0.7,18.8917,-10.1378,-3.12191,1.15876,23,0.47611,23,0,0,0
0.636702,0.7,18.8917,-10.1378,-3.12191,1.17006,24,0.463154,24,0,0,0
0.637293,0.7,18.8917,-10.1378,-3.12191,1.18326,25,0.450199,25,0,0,0
0.635947,0.7,18.8483,-10.1343,-3.12533,1.18326,26,0.480746,26,0,0,0
0.636561,0.7,18.8483,-10.1343,-3.12533,1.19766,27,0.46779,27,0,0,0
0.637159,0.7,18.8483,-10.1343,-3.12533,1.19766,28,0.454835,28,0,0,0
0.636721,0.7,18.8259,-10.1346,-3.1252,1.21219,29,0.464276,29,0,0,0
0.637314,0.7,18.8259,-10.1346,-3.1252,1.21219,30,0.45132,30,0,0,0
0.63789,0.7,18.8259,-10.1346,-3.1252,1.22901,31,0.438364,31,0,0,0
0.63845,0.7,18.8259,-10.1346,-3.1252,1.24578,32,0.425408,32,0,0,0
0.638992,0.7,18.8259,-10.1346,-3.1252,1.24578,33,0.412453,33,0,0,0
0.639518,0.7,18.8259,-10.1346,-3.1252,1.264,34,0.399497,34,0,0,0
0.640027,0.7,18.8259,-10.1346,-3.1252,1.264,35,0.386541,35,0,0,0
0.639313,0.7,18.7938,-10.133,-3.12739,1.28279,36,0.405639,36,0,0,0
0.63983,0.7,18.7938,-10.133,-3.12739,1.30084,37,0.392683,37,0,0,0
0.64033,0.7,18.7938,-10.133,-3.12739,1.30084,38,0.379727,38,0,0,0
0.637981,0.7,18.7237,-10.1298,-3.12647,1.31891,39,0.436979,39,0,0,0
0.638539,0.7,18.7237,-10.1298,-3.12647,1.31891,40,0.424023,40,0,0,0
0.63908,0.7,18.7237,-10.1298,-3.12647,1.34074,41,0.411067,41,0,0,0
0.639604,0.7,18.7237,-10.1298,-3.12647,1.36474,42,0.398112,42,0,0,0
0.640111,0.7,18.7237,-10.1298,-3.12647,1.36474,43,0.385156,43,0,0,0
0.640601,0.7,18.7237,-10.1298,-3.12647,1.39027,44,0.3722,44,0,0,0
0.641075,0.7,18.7237,-10.1298,-3.12647,1.39027,45,0.359244,45,0,0,0
0.63989,0.7,18.68,-10.1295,-3.12474,1.41268,46,0.389999,46,0,0,0
0.640387,0.7,18.68,-10.1295,-3.12474,1.43494,47,0.377043,47,0,0,0
0.640867,0.7,18.68,-10.1295,-3.12474,1.43494,48,0.364088,48,0,0,0
0.637181,0.7,18.5777,-10.1319,-3.12318,1.45645,49,0.453355,49,0,0,0
0.637759,0.7,18.5777,-10.1319,-3.12318,1.47685,50,0.4404,50,0,0,0
0.638321,0.7,18.5777,-10.1319,-3.12318,1.47685,51,0.427444,51,0,0,0
0.636734,0.7,18.5288,-10.1337,-3.12403,1.49734,52,0.463369,52,0,0,0
0.637326,0.7,18.5288,-10.1337,-3.12403,1.49734,53,0.450413,53,0,0,0
0.6379,0.7,18.5288,-10.1337,-3.12403,1.51953,54,0.437458,54,0,0,0
0.638459,0.7,18.5288,-10.1337,-3.12403,1.541,55,0.424502,55,0,0,0
0.639,0.7,18.5288,-10.1337,-3.12403,1.541,56,0.411546,56,0,0,0
0.639524,0.7,18.5288,-10.1337,-3.12403,1.5608,57,0.39859,57,0,0,0
0.640032,0.7,18.5288,-10.1337,-3.12403,1.5608,58,0.385635,58,0,0,0
0.637387,0.7,18.4526,-10.1288,-3.12323,1.58241,59,0.448875,59,0,0,0
0.63796,0.7,18.4526,-10.1288,-3.12323,1.60278,60,0.435919,60,0,0,0
0.638516,0.7,18.4526,-10.1288,-3.12323,1.60278,61,0.422963,61,0,0,0
0.639055,0.7,18.4526,-10.1288,-3.12323,1.6245,62,0.410008,62,0,0,0
0.639577,0.7,18.4526,-10.1288,-3.12323,1.6245,63,0.397052,63,0,0,0
0.640083,0.7,18.4526,-10.1288,-3.12323,1.64622,64,0.384096,64,0,0,0
0.640572,0.7,18.4526,-10.1288,-3.12323,1.66735,65,0.37114,65,0,0,0
0.639055,0.7,18.4012,-10.1213,-3.12199,1.66735,66,0.409755,66,0,0,0
