v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.604564,0.7,18.7783,-9.80421,-3.12649,1.10109,0,0.911336,0,0,20.0448,-9.7169
0,0.5,18.7783,-9.80421,-3.12649,1.10109,1,0.898414,1,0,20.05,-9.71688
0.431706,0.5,18.7783,-9.80421,-3.12649,1.10109,2,0.146942,2,0,20.05,-9.71688
0.43183,0.5,18.7783,-9.80421,-3.12649,1.11024,3,0.138286,3,0,20.05,-9.71688
0.431946,0.5,18.7783,-9.80421,-3.12649,1.11024,4,0.129631,4,0,20.0619,-9.70829
0.432054,0.5,18.7783,-9.80421,-3.12649,1.11953,5,0.120975,5,0,20.0619,-9.70829
0.432155,0.5,18.7783,-9.80421,-3.12649,1.11953,6,0.112319,6,0,20.0619,-9.70829
0.432249,0.5,18.7783,-9.80421,-3.12649,1.12789,7,0.103663,7,0,20.0808,-9.69349
0.432335,0.5,18.7783,-9.80421,-3.12649,1.13208,8,0.0950073,8,0,20.0808,-9.69349
0.432413,0.5,18.7783,-9.80421,-3.12649,1.13208,9,0.0863515,9,0,20.0808,-9.69349
0.432484,0.5,18.7783,-9.80421,-3.12649,1.13208,10,0.0776957,10,0,20.1316,-9.67482
0.432548,0.5,18.7783,-9.80421,-3.12649,1.14124,11,0.0690399,11,0,20.1316,-9.67482
0.432604,0.5,18.7783,-9.80421,-3.12649,1.14124,12,0.0603841,12,0,20.1316,-9.67482
0.432652,0.5,18.7783,-9.80421,-3.12649,1.15068,13,0.0517282,13,0,20.2472,-9.70605
0.432693,0.5,18.7783,-9.80421,-3.12649,1.15068,14,0.0430724,14,0,20.2472,-9.70605
0.432727,0.5,18.7783,-9.80421,-3.12649,1.16606,15,0.0344166,15,0,20.2472,-9.70605
0.432753,0.5,18.7783,-9.80421,-3.12649,1.16606,16,0.0257608,16,0,20.3029,-9.68797
0.432771,0.5,18.7783,-9.80421,-3.12649,1.18567,17,0.017105,17,0,20.3029,-9.68797
0.432782,0.5,18.7783,-9.80421,-3.12649,1.20638,18,0.00844913,18,0,20.3029,-9.68797
0.43076,0.5,18.7578,-9.80057,-3.12865,1.20638,19,0.14662,19,0,20.3329,-9.67175
0.430883,0.5,18.7578,-9.80057,-3.12865,1.20638,20,0.137983,20,0,20.3329,-9.67175
0.430999,0.5,18.7578,-9.80057,-3.12865,1.20638,21,0.129347,21,0,20.3329,-9.67175
0.431107,0.5,18.7578,-9.80057,-3.12865,1.24091,22,0.12071,22,0,20.3329,-9.67175
0.431207,0.5,18.7578,-9.80057,-3.12865,1.26151,23,0.112073,23,0,20.3329,-9.67175
0.4313,0.5,18.7578,-9.80057,-3.12865,1.26151,24,0.103436,24,0,20.3329,-9.67175
0.431035,0.5,18.7267,-9.80401,-3.13074,1.26151,25,0.126008,25,0,20.3471,-9.65533
0.43114,0.5,18.7267,-9.80401,-3.13074,1.26151,26,0.117371,26,0,20.3471,-9.65533
0.431237,0.5,18.7267,-9.80401,-3.13074,1.29893,27,0.108734,27,0,19.0696,-8.23365
0.431328,0.5,18.7267,-9.80401,-3.13074,1.29893,28,0.100097,28,0,19.0696,-8.23365
0.431218,0.5,18.7075,-9.80448,-3.13049,1.29893,29,0.110641,29,0,19.0696,-8.23365
0.431309,0.5,18.7075,-9.80448,-3.13049,1.34698,30,0.102004,30,0,19.0696,-8.23365
0.431394,0.5,18.7075,-9.80448,-3.13049,1.34698,31,0.0933669,31,0,19.0696,-8.23365
0.431159,0.5,18.6767,-9.807,-3.13143,1.37379,32,0.115592,32,0,19.0696,-8.23365
0.431255,0.5,18.6767,-9.807,-3.13143,1.3963,33,0.106955,33,0,19.0696,-8.23365
0.431343,0.5,18.6767,-9.807,-3.13143,1.3963,34,0.0983177,34,0,19.0696,-8.23365
0.431109,0.5,18.6468,-9.80451,-3.13197,1.42282,35,0.119475,35,0,19.0519,-8.23864
0.431209,0.5,18.6468,-9.80451,-3.13197,1.42282,36,0.110838,36,0,19.0519,-8.23864
0.431301,0.5,18.6468,-9.80451,-3.13197,1.44928,37,0.102201,37,0,19.0519,-8.23864
0.431385,0.5,18.6468,-9.80451,-3.13197,1.47746,38,0.0935642,38,0,19.0519,-8.23864
0.431462,0.5,18.6468,-9.80451,-3.13197,1.47746,39,0.0849273,39,0,19.0519,-8.23864
0.431532,0.5,18.6468,-9.80451,-3.13197,1.50365,40,0.0762903,40,0,20.2931,-9.7755
0.431594,0.5,18.6468,-9.80451,-3.13197,1.50365,41,0.0676534,41,0,20.2931,-9.7755
0.431089,0.5,18.5871,-9.80223,-3.13683,1.50365,42,0.118663,42,0,20.2931,-9.7755
0.431188,0.5,18.5871,-9.80223,-3.13683,1.54437,43,0.110026,43,0,20.2931,-9.7755
0.431279,0.5,18.5871,-9.80223,-3.13683,1.54437,44,0.101389,44,0,20.2931,-9.7755
0.431006,0.5,18.5542,-9.80464,-3.13669,1.55978,45,0.125658,45,0,20.2931,-9.7755
0.431111,0.5,18.5542,-9.80464,-3.13669,1.57378,46,0.117021,46,0,20.2677,-9.77636
0.431208,0.5,18.5542,-9.80464,-3.13669,1.57378,47,0.108384,47,0,20.2677,-9.77636
0.431298,0.5,18.5542,-9.80464,-3.13669,1.58678,48,0.0997469,48,0,20.2677,-9.77636
0.431024,0.5,18.5213,-9.80433,-3.13686,1.58678,49,0.124067,49,0,20.2677,-9.77636
0.431127,0.5,18.5213,-9.80433,-3.13686,1.58678,50,0.11543,50,0,20.2677,-9.77636
0.431223,0.5,18.5213,-9.80433,-3.13686,1.58678,51,0.106793,51,0,20.2528,-9.76703
0.431019,0.5,18.4943,-9.8088,-3.13576,1.61988,52,0.125244,52,0,20.2528,-9.76703
0.431123,0.5,18.4943,-9.8088,-3.13576,1.63615,53,0.116607,53,0,20.2528,-9.76703
0.43122,0.5,18.4943,-9.8088,-3.13576,1.63615,54,0.10797,54,0,20.2528,-9.76703
0.430965,0.5,18.4635,-9.81427,-3.13472,1.65071,55,0.130199,55,0,20.2528,-9.76703
0.431073,0.5,18.4635,-9.81427,-3.13472,1.65071,56,0.121562,56,0,20.2528,-9.76703
0.431175,0.5,18.4635,-9.81427,-3.13472,1.66671,57,0.112925,57,0,18.949,-8.19344
0.431268,0.5,18.4635,-9.81427,-3.13472,1.68167,58,0.104288,58,0,18.949,-8.19344
0.431355,0.5,18.4635,-9.81427,-3.13472,1.68167,59,0.0956515,59,0,18.949,-8.19344
0.431434,0.5,18.4635,-9.81427,-3.13472,1.68167,60,0.0870145,60,0,18.949,-8.19344
0.431505,0.5,18.4635,-9.81427,-3.13472,1.70927,61,0.0783776,61,0,18.949,-8.19344
0.431028,0.5,18.4071,-9.83034,-3.13296,1.70927,62,0.126482,62,0,20.2722,-9.75223
0.431134,0.5,18.4071,-9.83034,-3.13296,1.72235,63,0.117845,63,0,20.2722,-9.75223
0.431232,0.5,18.4071,-9.83034,-3.13296,1.72235,64,0.109208,64,0,20.2722,-9.75223
0.440464,0.5,18.3808,-9.83052,-3.13202,1.73667,65,0.172764,65,0,20.2722,-9.75223
0.440612,0.7,18.3808,-9.83052,-3.13202,1.73667,66,0.163925,66,0,20.2722,-9.75223
0.440753,0.7,18.3808,-9.83052,-3.13202,1.75372,67,0.155085,67,0,20.2722,-9.75223
0.440887,0.7,18.3808,-9.83052,-3.13202,1.76949,68,0.146246,68,0,20.2744,-9.74374
0.440658,0.7,18.3565,-9.83528,-3.12809,1.76949,69,0.161867,69,0,20.2744,-9.74374
0.440797,0.7,18.3565,-9.83528,-3.12809,1.78687,70,0.153027,70,0,20.2744,-9.74374
0.440929,0.7,18.3565,-9.83528,-3.12809,1.78687,71,0.144188,71,0,20.2744,-9.74374
0.440692,0.7,18.3319,-9.83789,-3.12712,1.80349,72,0.159905,72,0,20.2744,-9.74374
0.440829,0.7,18.3319,-9.83789,-3.12712,1.80349,73,0.151066,73,0,20.2744,-9.74374
0.440959,0.7,18.3319,-9.83789,-3.12712,1.80349,74,0.142226,74,0,20.3212,-9.72523
0.440627,0.7,18.3017,-9.83707,-3.12938,1.83371,75,0.163618,75,0,20.3212,-9.72523
0.440768,0.7,18.3017,-9.83707,-3.12938,1.84532,76,0.154779,76,0,20.3212,-9.72523
0.440901,0.7,18.3017,-9.83707,-3.12938,1.84532,77,0.145939,77,0,20.3212,-9.72523
0.441026,0.7,18.3017,-9.83707,-3.12938,1.84532,78,0.1371,78,0,20.4301,-9.59367
0.441143,0.7,18.3017,-9.83707,-3.12938,1.84532,79,0.128261,79,0,20.4301,-9.59367
0.441253,0.7,18.3017,-9.83707,-3.12938,1.86965,80,0.119421,80,0,20.4301,-9.59367
0.441354,0.7,18.3017,-9.83707,-3.12938,1.88602,81,0.110582,81,0,20.4301,-9.59367
0.440682,0.7,18.2438,-9.84018,-3.13249,1.88602,82,0.15969,82,0,20.4301,-9.59367
0.440819,0.7,18.2438,-9.84018,-3.13249,1.88602,83,0.150851,83,0,20.479,-9.55992
0.440949,0.7,18.2438,-9.84018,-3.13249,1.88602,84,0.142011,84,0,20.479,-9.55992
0.440478,0.7,18.2055,-9.83923,-3.13484,1.90785,85,0.171405,85,0,20.479,-9.55992
0.440625,0.7,18.2055,-9.83923,-3.13484,1.90785,86,0.162566,86,0,20.479,-9.55992
0.440765,0.7,18.2055,-9.83923,-3.13484,1.92085,87,0.153726,87,0,20.479,-9.55992
0.440897,0.7,18.2055,-9.83923,-3.13484,1.93427,88,0.144887,88,0,20.479,-9.55992
0.441021,0.7,18.2055,-9.83923,-3.13484,1.93427,89,0.136048,89,0,20.479,-9.55992
0.441137,0.7,18.2055,-9.83923,-3.13484,1.94937,90,0.127208,90,0,20.479,-9.55992
0.441246,0.7,18.2055,-9.83923,-3.13484,1.96237,91,0.118369,91,0,20.479,-9.55992
0.440495,0.7,18.1448,-9.83993,-3.1352,1.96237,92,0.17029,92,0,20.5457,-9.55404
0.440641,0.7,18.1448,-9.83993,-3.1352,1.96237,93,0.16145,93,0,20.5457,-9.55404
0.44078,0.7,18.1448,-9.83993,-3.1352,1.96237,94,0.152611,94,0,20.5457,-9.55404
0.440306,0.7,18.1068,-9.84395,-3.13236,1.99112,95,0.181789,95,0,18.8668,-7.52805
0.440463,0.7,18.1068,-9.84395,-3.13236,1.99112,96,0.172949,96,0,18.8668,-7.52805
0.440612,0.7,18.1068,-9.84395,-3.13236,2.00707,97,0.16411,97,0,18.8681,-7.53272
