v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.60911,0.7,18.839,-9.82434,-3.11534,1.20837,0,0.76484,0,0,20.2281,-9.85476
0,0.5,18.839,-9.82434,-3.11534,1.20837,1,0.752072,1,0,20.2281,-9.85476
0.442209,0.5,18.839,-9.82434,-3.11534,1.21655,2,0.188938,2,0,20.2281,-9.85476
0.442373,0.5,18.839,-9.82434,-3.11534,1.21655,3,0.180058,3,0,20.2281,-9.85476
0.442529,0.5,18.839,-9.82434,-3.11534,1.21655,4,0.171177,4,0,20.3364,-9.86757
0.442677,0.5,18.839,-9.82434,-3.11534,1.23164,5,0.162297,5,0,20.3364,-9.86757
0.442817,0.5,18.839,-9.82434,-3.11534,1.23164,6,0.153417,6,0,20.3364,-9.86757
0.44295,0.5,18.839,-9.82434,-3.11534,1.2458,7,0.144537,7,0,20.3364,-9.86757
0.443074,0.5,18.839,-9.82434,-3.11534,1.2458,8,0.135657,8,0,20.3364,-9.86757
0.44319,0.5,18.839,-9.82434,-3.11534,1.262,9,0.126776,9,0,20.3364,-9.86757
0.443299,0.5,18.839,-9.82434,-3.11534,1.262,10,0.117896,10,0,20.3364,-9.86757
0.4434,0.5,18.839,-9.82434,-3.11534,1.262,11,0.109016,11,0,20.4295,-9.86378
0.443493,0.5,18.839,-9.82434,-3.11534,1.28618,12,0.100136,12,0,20.4295,-9.86378
0.443578,0.5,18.839,-9.82434,-3.11534,1.30074,13,0.0912557,13,0,20.4295,-9.86378
0.443655,0.5,18.839,-9.82434,-3.11534,1.30074,14,0.0823755,14,0,20.4295,-9.86378
0.443724,0.5,18.839,-9.82434,-3.11534,1.30074,15,0.0734953,15,0,20.4295,-9.86378
0.443785,0.5,18.839,-9.82434,-3.11534,1.31431,16,0.0646151,16,0,20.4295,-9.86378
0.443839,0.5,18.839,-9.82434,-3.11534,1.32799,17,0.0557349,17,0,20.3789,-9.79684
0.443884,0.5,18.839,-9.82434,-3.11534,1.32799,18,0.0468547,18,0,20.3789,-9.79684
0.443922,0.5,18.839,-9.82434,-3.11534,1.34325,19,0.0379745,19,0,20.3789,-9.79684
0.443863,0.5,18.8161,-9.82297,-3.11611,1.36036,20,0.0519204,20,0,20.3789,-9.79684
0.443905,0.5,18.8161,-9.82297,-3.11611,1.36036,21,0.0430402,21,0,20.3789,-9.79684
0.443939,0.5,18.8161,-9.82297,-3.11611,1.37848,22,0.03416,22,0,20.3789,-9.79684
0.443945,0.5,18.8096,-9.82618,-3.11583,1.37848,23,0.0318336,23,0,20.3862,-9.80055
0.443969,0.5,18.8096,-9.82618,-3.11583,1.39547,24,0.0229534,24,0,20.3862,-9.80055
0.443985,0.5,18.8096,-9.82618,-3.11583,1.41294,25,0.0140732,25,0,20.3862,-9.80055
0.443994,0.5,18.8096,-9.82618,-3.11583,1.41294,26,0.00519301,26,0,20.3862,-9.80055
0.440439,0.5,18.8096,-9.82618,-3.11583,1.43031,27,0.165861,27,0,20.3862,-9.80055
0.440582,0.5,18.8096,-9.82618,-3.11583,1.43031,28,0.157024,28,0,20.3862,-9.80055
0.440716,0.5,18.8096,-9.82618,-3.11583,1.43031,29,0.148188,29,0,20.3862,-9.80055
0.44005,0.5,18.7612,-9.8276,-3.11606,1.43031,30,0.187859,30,0,20.3862,-9.80055
0.440213,0.5,18.7612,-9.8276,-3.11606,1.46735,31,0.179022,31,0,20.3862,-9.80055
0.440367,0.5,18.7612,-9.8276,-3.11606,1.49347,32,0.170185,32,0,20.3862,-9.80055
0.440513,0.5,18.7612,-9.8276,-3.11606,1.49347,33,0.161349,33,0,20.3862,-9.80055
0.440652,0.5,18.7612,-9.8276,-3.11606,1.49347,34,0.152512,34,0,20.3862,-9.80055
0.440783,0.5,18.7612,-9.8276,-3.11606,1.49347,35,0.143676,35,0,20.3862,-9.80055
0.44054,0.5,18.7363,-9.82725,-3.11615,1.49347,36,0.159715,36,0,19.1635,-8.23853
0.440677,0.5,18.7363,-9.82725,-3.11615,1.55051,37,0.150878,37,0,19.1635,-8.23853
0.440807,0.5,18.7363,-9.82725,-3.11615,1.55051,38,0.142041,38,0,19.1635,-8.23853
0.440928,0.5,18.7363,-9.82725,-3.11615,1.57465,39,0.133205,39,0,20.394,-9.79621
0.440028,0.5,18.6716,-9.82846,-3.11617,1.60472,40,0.189066,40,0,20.394,-9.79621
0.440192,0.5,18.6716,-9.82846,-3.11617,1.60472,41,0.180229,41,0,20.394,-9.79621
0.440347,0.5,18.6716,-9.82846,-3.11617,1.60472,42,0.171392,42,0,20.394,-9.79621
0.439998,0.5,18.643,-9.82556,-3.11878,1.66066,43,0.191098,43,0,20.394,-9.79621
0.440163,0.5,18.643,-9.82556,-3.11878,1.66066,44,0.182262,44,0,20.394,-9.79621
0.44032,0.5,18.643,-9.82556,-3.11878,1.69454,45,0.173425,45,0,20.394,-9.79621
0.439943,0.5,18.6136,-9.82865,-3.12014,1.69454,46,0.194067,46,0,20.394,-9.79621
0.44011,0.5,18.6136,-9.82865,-3.12014,1.72667,47,0.18523,47,0,20.394,-9.79621
0.44027,0.5,18.6136,-9.82865,-3.12014,1.72667,48,0.176394,48,0,20.394,-9.79621
0.440422,0.5,18.6136,-9.82865,-3.12014,1.75288,49,0.167557,49,0,20.394,-9.79621
0.439959,0.5,18.5791,-9.83129,-3.11979,1.77877,50,0.193193,50,0,20.394,-9.79621
0.440125,0.5,18.5791,-9.83129,-3.11979,1.77877,51,0.184356,51,0,20.394,-9.79621
0.440284,0.5,18.5791,-9.83129,-3.11979,1.80253,52,0.17552,52,0,20.6246,-9.8422
0.440436,0.5,18.5791,-9.83129,-3.11979,1.81967,53,0.166683,53,0,20.6246,-9.8422
0.440579,0.5,18.5791,-9.83129,-3.11979,1.81967,54,0.157847,54,0,20.6246,-9.8422
0.440715,0.5,18.5791,-9.83129,-3.11979,1.83398,55,0.14901,55,0,20.6246,-9.8422
0.440215,0.5,18.5398,-9.82948,-3.11968,1.83398,56,0.179418,56,0,20.6246,-9.8422
0.44037,0.5,18.5398,-9.82948,-3.11968,1.84834,57,0.170582,57,0,20.6246,-9.8422
0.440517,0.5,18.5398,-9.82948,-3.11968,1.84834,58,0.161745,58,0,20.6246,-9.8422
0.440656,0.5,18.5398,-9.82948,-3.11968,1.86083,59,0.152908,59,0,20.6246,-9.8422
0.445664,0.5,18.4812,-9.83489,-3.12044,1.87503,60,0.160043,60,0,20.6246,-9.8422
0.445804,0.7,18.4812,-9.83489,-3.12044,1.87503,61,0.151104,61,0,20.6246,-9.8422
0.445935,0.7,18.4812,-9.83489,-3.12044,1.88716,62,0.142165,62,0,20.6246,-9.8422
0.445655,0.7,18.4536,-9.83321,-3.12361,1.89891,63,0.160829,63,0,20.6246,-9.8422
0.445795,0.7,18.4536,-9.83321,-3.12361,1.89891,64,0.15189,64,0,20.6246,-9.8422
0.445927,0.7,18.4536,-9.83321,-3.12361,1.91445,65,0.142951,65,0,19.1019,-8.22675
0.44605,0.7,18.4536,-9.83321,-3.12361,1.91445,66,0.134012,66,0,19.1019,-8.22675
0.446166,0.7,18.4536,-9.83321,-3.12361,1.93222,67,0.125073,67,0,19.1019,-8.22675
0.446274,0.7,18.4536,-9.83321,-3.12361,1.93222,68,0.116134,68,0,19.1019,-8.22675
0.446374,0.7,18.4536,-9.83321,-3.12361,1.93222,69,0.107195,69,0,19.1019,-8.22675
0.445758,0.7,18.3979,-9.84166,-3.12069,1.96194,70,0.154071,70,0,19.1019,-8.22675
0.445891,0.7,18.3979,-9.84166,-3.12069,1.96194,71,0.145132,71,0,19.1019,-8.22675
0.446017,0.7,18.3979,-9.84166,-3.12069,1.9471,72,0.136193,72,0,19.1019,-8.22675
0.445641,0.7,18.3643,-9.84361,-3.11718,1.9471,73,0.160893,73,0,19.1019,-8.22675
0.445781,0.7,18.3643,-9.84361,-3.11718,1.99989,74,0.151954,74,0,19.1019,-8.22675
0.445912,0.7,18.3643,-9.84361,-3.11718,2.02067,75,0.143015,75,0,19.1019,-8.22675
0.445588,0.7,18.3347,-9.84453,-3.11532,2.02067,76,0.163713,76,0,19.1019,-8.22675
0.44573,0.7,18.3347,-9.84453,-3.11532,2.04431,77,0.154775,77,0,19.1019,-8.22675
0.445864,0.7,18.3347,-9.84453,-3.11532,2.04431,78,0.145836,78,0,18.9356,-7.52327
0.445991,0.7,18.3347,-9.84453,-3.11532,2.06482,79,0.136897,79,0,18.9356,-7.52327
0.445616,0.7,18.3006,-9.84143,-3.11491,2.08352,80,0.161983,80,0,18.9356,-7.52327
0.445756,0.7,18.3006,-9.84143,-3.11491,2.08352,81,0.153044,81,0,18.9356,-7.52327
0.445889,0.7,18.3006,-9.84143,-3.11491,2.10191,82,0.144105,82,0,18.9356,-7.52327
0.446014,0.7,18.3006,-9.84143,-3.11491,2.10191,83,0.135166,83,0,18.9356,-7.52327
0.446131,0.7,18.3006,-9.84143,-3.11491,2.11745,84,0.126227,84,0,18.9356,-7.52327
0.44624,0.7,18.3006,-9.84143,-3.11491,2.12737,85,0.117289,85,0,18.9356,-7.52327
