v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.643169,0.7,18.7873,-9.81368,-3.09987,0.857166,0,0.525032,0,0,0,0
0.64385,0.7,18.7873,-9.81368,-3.09987,0.857166,1,0.511892,1,0,0,0
0.644514,0.7,18.7873,-9.81368,-3.09987,0.854501,2,0.498753,2,0,0,0
0.64516,0.7,18.7873,-9.81368,-3.09987,0.844512,3,0.485613,3,0,0,0
0.64579,0.7,18.7873,-9.81368,-3.09987,0.844512,4,0.472474,4,0,0,0
0.646402,0.7,18.7873,-9.81368,-3.09987,0.840231,5,0.459334,5,0,0,0
0.646997,0.7,18.7873,-9.81368,-3.09987,0.840231,6,0.446194,6,0,0,0
0.647575,0.7,18.7873,-9.81368,-3.09987,0.840231,7,0.433055,7,0,0,0
0.648135,0.7,18.7873,-9.81368,-3.09987,0.833625,8,0.419915,8,0,0,0
0.648678,0.7,18.7873,-9.81368,-3.09987,0.833625,9,0.406776,9,0,0,0
0.649204,0.7,18.7873,-9.81368,-3.09987,0.833625,10,0.393636,10,0,0,0
0.649712,0.7,18.7873,-9.81368,-3.09987,0.833625,11,0.380496,11,0,0,0
0.650204,0.7,18.7873,-9.81368,-3.09987,0.846051,12,0.367357,12,0,0,0
0.650678,0.7,18.7873,-9.81368,-3.09987,0.846051,13,0.354217,13,0,0,0
0.651134,0.7,18.7873,-9.81368,-3.09987,0.846051,14,0.341077,14,0,0,0
0.651574,0.7,18.7873,-9.81368,-3.09987,0.877523,15,0.327938,15,0,0,0
0.651996,0.7,18.7873,-9.81368,-3.09987,0.877523,16,0.314798,16,0,0,0
0.652401,0.7,18.7873,-9.81368,-3.09987,0.888587,17,0.301659,17,0,0,0
0.65258,0.7,18.7803,-9.81136,-3.09835,0.913141,18,0.295424,18,0,0,0
0.65296,0.7,18.7803,-9.81136,-3.09835,0.913141,19,0.282284,19,0,0,0
0.653322,0.7,18.7803,-9.81136,-3.09835,0.934761,20,0.269145,20,0,0,0
0.653667,0.7,18.7803,-9.81136,-3.09835,0.934761,21,0.256005,21,0,0,0
0.653995,0.7,18.7803,-9.81136,-3.09835,0.959317,22,0.242865,22,0,0,0
0.654305,0.7,18.7803,-9.81136,-3.09835,0.985686,23,0.229726,23,0,0,0
0.653767,0.7,18.7437,-9.80799,-3.10169,0.985686,24,0.252988,24,0,0,0
0.654091,0.7,18.7437,-9.80799,-3.10169,1.00914,25,0.239848,25,0,0,0
0.654397,0.7,18.7437,-9.80799,-3.10169,1.00914,26,0.226708,26,0,0,0
0.65414,0.7,18.7193,-9.8092,-3.10327,1.02966,27,0.238021,27,0,0,0
0.654444,0.7,18.7193,-9.8092,-3.10327,1.02966,28,0.224881,28,0,0,0
0.654731,0.7,18.7193,-9.8092,-3.10327,1.02966,29,0.211742,29,0,0,0
0.655001,0.7,18.7193,-9.8092,-3.10327,1.02966,30,0.198602,30,0,0,0
0.654612,0.7,18.6875,-9.81177,-3.10366,1.07655,31,0.217319,31,0,0,0
0.654889,0.7,18.6875,-9.81177,-3.10366,1.10568,32,0.20418,32,0,0,0
0.655148,0.7,18.6875,-9.81177,-3.10366,1.10568,33,0.19104,33,0,0,0
0.655391,0.7,18.6875,-9.81177,-3.10366,1.13566,34,0.1779,34,0,0,0
0.655616,0.7,18.6875,-9.81177,-3.10366,1.13566,35,0.164761,35,0,0,0
0.655824,0.7,18.6875,-9.81177,-3.10366,1.13566,36,0.151621,36,0,0,0
0.655639,0.7,18.6624,-9.81359,-3.106,1.13566,37,0.163657,37,0,0,0
0.655267,0.7,18.628,-9.81543,-3.10574,1.13566,38,0.18499,38,0,0,0
0.655501,0.7,18.628,-9.81543,-3.10574,1.18799,39,0.17185,39,0,0,0
0.655718,0.7,18.628,-9.81543,-3.10574,1.239,40,0.15871,40,0,0,0
0.655207,0.7,18.5852,-9.81697,-3.10881,1.239,41,0.188349,41,0,0,0
0.655446,0.7,18.5852,-9.81697,-3.10881,1.239,42,0.17521,42,0,0,0
0.655667,0.7,18.5852,-9.81697,-3.10881,1.28923,43,0.16207,43,0,0,0
0.655262,0.7,18.5489,-9.8192,-3.10628,1.28923,44,0.185279,44,0,0,0
0.655497,0.7,18.5489,-9.8192,-3.10628,1.28923,45,0.172139,45,0,0,0
0.655714,0.7,18.5489,-9.8192,-3.10628,1.28923,46,0.159,46,0,0,0
0.655211,0.7,18.5067,-9.82183,-3.10977,1.28923,47,0.188116,47,0,0,0
0.65545,0.7,18.5067,-9.82183,-3.10977,1.28923,48,0.174977,48,0,0,0
0.655671,0.7,18.5067,-9.82183,-3.10977,1.36671,49,0.161837,49,0,0,0
0.655875,0.7,18.5067,-9.82183,-3.10977,1.38955,50,0.148697,50,0,0,0
0.655413,0.7,18.4655,-9.82387,-3.11335,1.38955,51,0.176811,51,0,0,0
0.655636,0.7,18.4655,-9.82387,-3.11335,1.38955,52,0.163671,52,0,0,0
0.655843,0.7,18.4655,-9.82387,-3.11335,1.43366,53,0.150532,53,0,0,0
0.656032,0.7,18.4655,-9.82387,-3.11335,1.43366,54,0.137392,54,0,0,0
0.656204,0.7,18.4655,-9.82387,-3.11335,1.45606,55,0.124252,55,0,0,0
0.656358,0.7,18.4655,-9.82387,-3.11335,1.45606,56,0.111113,56,0,0,0
0.655931,0.7,18.4194,-9.82305,-3.11525,1.47946,57,0.143997,57,0,0,0
0.655492,0.7,18.378,-9.82267,-3.11275,1.47946,58,0.172227,58,0,0,0
0.65571,0.7,18.378,-9.82267,-3.11275,1.47946,59,0.159088,59,0,0,0
0.65591,0.7,18.378,-9.82267,-3.11275,1.52331,60,0.145948,60,0,0,0
0.65542,0.7,18.3342,-9.82508,-3.11033,1.52331,61,0.176667,61,0,0,0
0.655643,0.7,18.3342,-9.82508,-3.11033,1.54542,62,0.163527,62,0,0,0
0.655849,0.7,18.3342,-9.82508,-3.11033,1.54542,63,0.150387,63,0,0,0
